pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2024-05-20,82.4,-2.5,5.87,"Vásquez, Randy",660670,681190,,blocked_ball,,,,,14,Ball In Dirt,R,R,R,ATL,SD,B,,,0,2,2024,1.08,0.41,2.122857540823556,-0.1333873250661437,,,670097,2,4,Bot,,,,,,,8.38885118952715,-119.6796097889048,-7.935445341724867,8.919633168107495,21.44979670439602,-26.88385250179239,3.53990160455504,1.53483950214285,,,,82.4,3121,6.2,747121,543309,630105,650333,456781,673490,595777,640492,665487,54.28,,,,,,,,36,3,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,65,0.001,0.027,,,,-0.027,,2,2,0.761,0.761,25,26,26,27,3,2,7,0,12,1,2.94,-1.08,-1.08,33.6,,,,,
FF,2024-05-20,93.5,-2.13,6.1,"Vásquez, Randy",660670,681190,,foul,,,,,4,Foul,R,R,R,ATL,SD,S,,,0,1,2024,-0.65,1.14,-0.5852951781672623,2.8706893706089813,,,670097,2,4,Bot,,,,,,,5.390265360121742,-136.07315411610455,-5.121299006030358,-9.168796965542,27.114923768581605,-17.089909849677046,3.54,1.59,136,83.0,72,93.8,2402,6.2,747121,543309,630105,650333,456781,673490,595777,640492,665487,54.25,,,,,,,,36,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,217,-0.004,-0.054,,,,0.054,88.0,2,2,0.765,0.765,25,26,26,27,3,2,7,0,12,1,1.45,0.65,0.65,37.8,,,,,
SI,2024-05-20,94.8,-2.15,6.13,"Vásquez, Randy",660670,681190,,foul,,,,,8,Foul,R,R,R,ATL,SD,S,,,0,0,2024,-1.17,1.14,0.1528385774304854,2.012846497203414,,,670097,2,4,Bot,,,,,,,8.63609698179403,-137.65333668973958,-7.617891393909828,-16.82288802987772,29.53053426783987,-16.16750429777713,3.54,1.59,187,79.3,17,94.7,2418,6.3,747121,543309,630105,650333,456781,673490,595777,640492,665487,54.2,,,,,,,,36,1,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,210,-0.002,-0.047,,,,0.047,88.0,2,2,0.767,0.767,25,26,26,27,3,2,7,0,12,1,1.4,1.17,1.17,37.7,,,,,
FF,2024-05-20,92.6,-2.18,5.95,"Vásquez, Randy",660670,681190,field_out,hit_into_play,,,,,2,Ronald Acuña Jr. flies out to right fielder Fernando Tatis Jr.,R,R,R,ATL,SD,X,9,fly_ball,2,2,2024,-0.4,1.09,-0.1236651504342289,3.056156240156617,,,,2,2,Bot,215.78,101.64,,,,,6.139381036224356,-134.7738882668853,-3.996322496805528,-6.207462488254187,28.195918841784096,-18.22388252727561,3.54,1.59,326,93.5,29,92.8,2347,6.3,747121,543309,630105,650333,456781,673490,595777,640492,665487,54.21,0.171,0.269,0.0,1,0,0,3,18,9,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,216,-0.008,-0.219,73.0,6.4,0.472,0.219,93.5,1,1,0.62,0.62,25,26,26,27,2,1,7,0,12,1,1.56,0.4,0.4,32.8,2.6722188486265157,26.09328434814152,25.594637638829298,36.80904486401141,23.997480539528404
CU,2024-05-20,81.4,-2.16,6.06,"Vásquez, Randy",660670,681190,,foul,,,,,8,Foul,R,R,R,ATL,SD,S,,,2,2,2024,1.23,-0.68,0.1999308044575547,1.5349213301366782,,,,2,2,Bot,,,,,,,2.9152949333943736,-118.49888259297776,-2.2258009720198086,10.983616719430888,23.45863069415922,-38.3370055863891,3.54,1.59,2,83.6,-36,80.9,3323,6.0,747121,543309,630105,650333,456781,673490,595777,640492,665487,54.48,,,,,,,,18,8,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,65,0.0,0.0,77.6,8.7,,0.0,88.0,1,1,0.62,0.62,25,26,26,27,2,1,7,0,12,1,4.13,-1.23,-1.23,37.2,20.38906328080688,-19.36517816563535,34.743260233695736,40.53610442449596,48.259302107306965
FF,2024-05-20,93.7,-2.29,6.1,"Vásquez, Randy",660670,681190,,foul,,,,,1,Foul,R,R,R,ATL,SD,S,,,2,2,2024,-0.42,1.28,-0.2953286695436256,3.376719581382029,,,,2,2,Bot,,,,,,,6.05346836088699,-136.3435525015125,-4.167093368614926,-6.506851397390421,28.29484246640363,-15.40281514989987,3.54,1.59,184,75.6,64,93.7,2522,6.1,747121,543309,630105,650333,456781,673490,595777,640492,665487,54.36,,,,,,,,18,7,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,214,0.0,0.0,65.4,7.0,,0.0,88.0,1,1,0.62,0.62,25,26,26,27,2,1,7,0,12,1,1.3,0.42,0.42,37.4,5.738484835548934,-4.181435160669976,22.947984812217204,35.40722674049571,30.539530963552856
CU,2024-05-20,81.7,-2.32,5.87,"Vásquez, Randy",660670,681190,,foul,,,,,9,Foul,R,R,R,ATL,SD,S,,,2,2,2024,1.04,-0.36,0.4563640138975129,1.841793414776845,,,,2,2,Bot,,,,,,,4.239467286886604,-119.046299515565,-1.852708199918738,9.188662512762113,21.666586104583825,-35.46093276211837,3.54,1.59,4,63.8,-26,81.6,3217,6.1,747121,543309,630105,650333,456781,673490,595777,640492,665487,54.44,,,,,,,,18,6,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,77,0.0,0.0,79.7,8.4,,0.0,88.0,1,1,0.62,0.62,25,26,26,27,2,1,7,0,12,1,3.75,-1.04,-1.04,32.9,20.74529368736588,-11.853716473711454,31.329020043953065,43.99544495642285,43.8055164601689
FF,2024-05-20,94.4,-2.1,6.1,"Vásquez, Randy",660670,681190,,foul,,,,,4,Foul,R,R,R,ATL,SD,S,,,2,2,2024,-0.67,1.37,-0.8107932271943312,2.6658984604818885,,,,2,2,Bot,,,,,,,4.834781999327216,-137.32296680734655,-6.28642974946023,-9.548436331363243,29.436691475880007,-13.681894830122824,3.54,1.59,123,76.0,71,94.3,2524,6.2,747121,543309,630105,650333,456781,673490,595777,640492,665487,54.3,,,,,,,,18,5,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,218,0.0,0.0,83.9,7.3,,0.0,88.0,1,1,0.62,0.62,25,26,26,27,2,1,7,0,12,1,1.19,0.67,0.67,36.2,12.041357960359568,-9.605397266249968,35.01314343509302,29.40538219421293,30.675300956845422
FF,2024-05-20,93.5,-1.98,6.13,"Vásquez, Randy",660670,681190,,ball,,,,,12,Ball,R,R,R,ATL,SD,B,,,1,2,2024,-0.49,1.39,1.920019561928444,2.770683153894407,,,,2,2,Bot,,,,,,,11.084476472416526,-135.66625219361802,-5.965287263877253,-8.277148801859035,27.4073072805296,-13.85359709594306,3.64995494180958,1.58991413488057,,,,93.4,2519,6.2,747121,543309,630105,650333,456781,673490,595777,640492,665487,54.28,,,,,,,,18,4,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,213,0.002,0.039,,,,-0.039,,1,1,0.618,0.618,25,26,26,27,2,1,7,0,12,1,1.22,0.49,0.49,36.3,,,,,
FF,2024-05-20,94.7,-2.03,6.12,"Vásquez, Randy",660670,681190,,ball,,,,,14,Ball,R,R,R,ATL,SD,B,,,0,2,2024,-0.73,1.16,0.9917546929038876,2.5449951563729645,,,,2,2,Bot,,,,,,,9.49121877406198,-137.52910297101263,-6.270940964238275,-11.278611687182524,27.85140032505799,-16.192378330526193,3.62245800331777,1.64486744133328,,,,94.7,2487,6.2,747121,543309,630105,650333,456781,673490,595777,640492,665487,54.32,,,,,,,,18,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,218,0.001,0.023,,,,-0.023,,1,1,0.617,0.617,25,26,26,27,2,1,7,0,12,1,1.37,0.73,0.73,36.1,,,,,
CU,2024-05-20,80.9,-2.31,6.13,"Vásquez, Randy",660670,681190,,swinging_strike,,,,,8,Swinging Strike,R,R,R,ATL,SD,S,,,0,1,2024,1.27,-0.39,0.1598326528833231,2.0410449265640636,,,,2,2,Bot,,,,,,,3.0869704826346216,-117.85490021996156,-1.7435066668375512,11.175094474534832,22.87219882464859,-35.65550288336776,3.54,1.59,,,,80.5,3378,6.0,747121,543309,630105,650333,456781,673490,595777,640492,665487,54.47,,,,,,,,18,2,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,66,-0.003,-0.058,81.6,8.8,,0.058,,1,1,0.62,0.62,25,26,26,27,2,1,7,0,12,1,3.87,-1.27,-1.27,38.0,25.326071858349643,-31.5043391267466,33.681345069854494,40.63805096846157,52.372911768274875
FC,2024-05-20,87.4,-2.32,6.1,"Vásquez, Randy",660670,681190,,swinging_strike,,,,,4,Swinging Strike,R,R,R,ATL,SD,S,,,0,0,2024,0.46,0.41,-0.4100781392012652,2.835123039794884,,,,2,2,Bot,,,,,,,3.650456406827084,-127.40444173405184,-2.6790125147967365,4.463331815092051,22.19996534707601,-27.35688943370428,3.54,1.59,,,,87.8,2823,6.1,747121,543309,630105,650333,456781,673490,595777,640492,665487,54.41,,,,,,,,18,1,Cutter,1,0,1,0,0,1,1,0,Standard,Standard,153,-0.001,-0.041,76.3,6.6,,0.041,,1,1,0.621,0.621,25,26,26,27,2,1,7,0,12,1,2.53,-0.46,-0.46,38.1,-6.299283660636962,26.593018182625343,36.41076605536912,36.3021969638261,16.830456822384004
SI,2024-05-20,94.7,-2.34,6.21,"Vásquez, Randy",660670,681190,triple,hit_into_play,,,,,1,Ronald Acuña Jr. triples (1) on a ground ball to left fielder Jurickson Profar.,R,R,R,ATL,SD,X,7,ground_ball,3,1,2024,-1.33,0.97,-0.6975635842430772,3.1472202213337006,,,,0,1,Bot,31.57,106.98,,,,,7.247216712972043,-137.6096285739495,-4.415906693140926,-18.58560572301616,33.72579005034526,-19.00689354062007,3.54,1.59,51,91.7,1,94.1,2404,6.3,747121,543309,630105,650333,456781,673490,595777,640492,665487,54.23,0.425,0.384,1.6,1,1,2,2,5,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,206,0.069,0.822,77.1,7.9,0.506,-0.822,91.7,0,0,0.562,0.562,25,26,26,27,1,0,7,0,12,1,1.6,1.33,1.33,38.4,21.489042143444063,-17.62551027249788,31.610309093968382,30.32108724504875,36.96365765758162
FF,2024-05-20,93.8,-2.54,6.13,"Vásquez, Randy",660670,681190,,ball,,,,,12,Ball,R,R,R,ATL,SD,B,,,2,1,2024,-0.39,1.3,0.9377879906809004,3.278067532396935,,,,0,1,Bot,,,,,,,9.81647428798726,-136.25640010164236,-4.505861969492177,-6.977658297400673,29.22592557578377,-15.172277222483666,3.59496117069158,1.61739050184489,,,,93.6,2386,6.2,747121,543309,630105,650333,456781,673490,595777,640492,665487,54.28,,,,,,,,5,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,210,0.011,0.122,,,,-0.122,,0,0,0.551,0.551,25,26,26,27,1,0,7,0,12,1,1.3,0.39,0.39,36.8,,,,,
CH,2024-05-20,89.1,-2.58,6.08,"Vásquez, Randy",660670,681190,,called_strike,,,,,6,Called Strike,R,R,R,ATL,SD,S,,,2,0,2024,-1.4,0.83,0.7307371127118913,2.646124621259183,,,,0,1,Bot,,,,,,,11.031237976756447,-129.3563647870375,-4.12319967985705,-18.01969457531169,25.74152765922041,-22.19382202238463,3.53996785529485,1.61739050184489,,,,88.9,2345,6.2,747121,543309,630105,650333,456781,673490,595777,640492,665487,54.29,,,,,,,,5,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,235,-0.007,-0.065,,,,0.065,,0,0,0.558,0.558,25,26,26,27,1,0,7,0,12,1,2.05,1.4,1.4,44.8,,,,,
FC,2024-05-20,89.5,-2.71,6.1,"Vásquez, Randy",660670,681190,,ball,,,,,12,Ball,R,R,R,ATL,SD,B,,,1,0,2024,0.15,0.68,0.5007538834640382,3.6468907295725312,,,,0,1,Bot,,,,,,,7.554203203838281,-130.1832054708132,-1.5174805183538562,0.2242329185918707,26.26100317229977,-24.268107920719935,3.5124713886607,1.58991413488057,,,,89.2,2695,6.0,747121,543309,630105,650333,456781,673490,595777,640492,665487,54.49,,,,,,,,5,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,185,0.007,0.069,,,,-0.069,,0,0,0.551,0.551,25,26,26,27,1,0,7,0,12,1,2.15,-0.15,-0.15,34.7,,,,,
FF,2024-05-20,94.5,-2.42,6.14,"Vásquez, Randy",660670,681190,,ball,,,,,12,Ball,R,R,R,ATL,SD,B,,,0,0,2024,-0.53,1.25,1.1700104478842783,2.9784290230937875,,,,0,1,Bot,,,,,,,10.472293422231846,-137.265463300034,-5.326840547556506,-8.868520843606682,28.799458353292135,-15.356998862651578,3.53996785529485,1.61739050184489,,,,94.3,2514,6.1,747121,543309,630105,650333,456781,673490,595777,640492,665487,54.35,,,,,,,,5,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,217,0.003,0.038,,,,-0.038,,0,0,0.548,0.548,25,26,26,27,1,0,7,0,12,1,1.3,0.53,0.53,38.8,,,,,
SI,2024-05-20,97.4,-1.07,6.29,"Brito, Jhony",660670,666745,strikeout,foul_tip,,,,,9,Ronald Acuña Jr. strikes out on a foul tip.,R,R,R,ATL,SD,S,2,,3,2,2024,-1.21,0.86,0.6912418872555233,1.7151229860280623,,644433,,1,7,Bot,,,,,,,7.519401759743547,-141.6044029801919,-8.86031760757042,-17.873718322244056,27.563542587025843,-18.802347244994984,3.54,1.61,,,,98.3,2234,6.5,747119,669134,630105,456781,592518,673490,595777,701538,665487,54.01,,0.0,0.0,1,0,0,,63,6,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,220,-0.009,-0.291,74.4,7.5,,0.291,,3,3,0.947,0.947,26,26,26,27,1,4,5,1,1,0,1.51,1.21,1.21,55.5,0.2783885385548856,26.433805267749655,35.87067210587038,48.686405160329784,16.558322779968556
SI,2024-05-20,97.0,-1.23,6.3,"Brito, Jhony",660670,666745,,foul,,,,,4,Foul,R,R,R,ATL,SD,S,,,3,1,2024,-1.22,0.92,-0.8089679619623078,2.920851446114046,,644433,,1,7,Bot,,,,,,,3.904920419219176,-141.2422704297427,-5.669179164251873,-17.303726357721715,28.635790991049458,-18.810187041508296,3.54,1.61,174,68.6,60,97.4,2094,6.2,747119,669134,630105,456781,592518,673490,595777,701538,665487,54.28,,,,,,,,63,5,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,224,-0.001,-0.086,78.6,7.3,,0.086,88.0,3,3,0.948,0.948,26,26,26,27,1,4,5,1,1,0,1.48,1.22,1.22,54.3,10.062267127547443,2.000275487560262,29.386438779854657,31.102512499880255,29.2087639883558
CH,2024-05-20,89.8,-1.11,6.25,"Brito, Jhony",660670,666745,,ball,,,,,14,Ball,R,R,R,ATL,SD,B,,,2,1,2024,-1.35,0.49,1.0946632046294549,2.0381341335246086,,644433,,1,7,Bot,,,,,,,8.330712778100436,-130.6178453565718,-5.572661910795068,-17.07368532013216,23.067934428392977,-25.678319854955436,3.44482811084868,1.58623111295374,,,,90.7,1662,6.5,747119,669134,630105,456781,592518,673490,595777,701538,665487,54.0,,,,,,,,63,4,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,237,0.001,0.078,,,,-0.078,,3,3,0.947,0.947,26,26,26,27,1,4,5,1,1,0,2.31,1.35,1.35,56.2,,,,,
FF,2024-05-20,97.1,-1.19,6.29,"Brito, Jhony",660670,666745,,ball,,,,,12,Ball,R,R,R,ATL,SD,B,,,1,1,2024,-0.91,1.06,1.2892869720071598,2.8587103925217807,,644433,,1,7,Bot,,,,,,,8.720627766289132,-141.21788758294724,-6.1434569223414615,-14.03671185001388,28.744760393722153,-16.727772225267447,3.5393863651059,1.64005599875264,,,,97.7,2163,6.4,747119,669134,630105,456781,592518,673490,595777,701538,665487,54.06,,,,,,,,63,3,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,220,0.0,0.038,,,,-0.038,,3,3,0.947,0.947,26,26,26,27,1,4,5,1,1,0,1.34,0.91,0.91,52.9,,,,,
SI,2024-05-20,96.6,-1.24,6.39,"Brito, Jhony",660670,666745,,called_strike,,,,,2,Called Strike,R,R,R,ATL,SD,S,,,1,0,2024,-1.28,0.95,-0.2150848383363159,3.3204998738617473,,644433,,1,7,Bot,,,,,,,5.656693259467171,-140.66864712142765,-4.85240172216387,-18.29305177735235,29.032351054248075,-18.606613757104952,3.47187552450954,1.58623111295374,,,,97.0,2095,6.3,747119,669134,630105,456781,592518,673490,595777,701538,665487,54.22,,,,,,,,63,2,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,220,0.0,-0.043,,,,0.043,,3,3,0.947,0.947,26,26,26,27,1,4,5,1,1,0,1.47,1.28,1.28,58.1,,,,,
SI,2024-05-20,97.2,-1.45,6.38,"Brito, Jhony",660670,666745,,ball,,,,,11,Ball,R,R,R,ATL,SD,B,,,0,0,2024,-1.27,0.81,-1.8148292868240452,4.106601255307538,,644433,,1,7,Bot,,,,,,,1.9457819977016275,-141.60948535974157,-2.4643880661380844,-17.596401292344876,30.907083456660363,-20.9231647888796,3.41778356642546,1.58623111295374,,,,97.3,2139,6.2,747119,669134,630105,456781,592518,673490,595777,701538,665487,54.29,,,,,,,,63,1,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,223,0.0,0.027,,,,-0.027,,3,3,0.947,0.947,26,26,26,27,1,4,5,1,1,0,1.59,1.27,1.27,52.6,,,,,
CH,2024-05-20,88.2,-0.62,6.09,"Gillaspie, Logan",660670,670810,double,hit_into_play,,,,,8,Ronald Acuña Jr. doubles (7) on a sharp line drive to right fielder Fernando Tatis Jr. Chadwick Tromp to 3rd.,R,R,R,ATL,SD,X,9,line_drive,0,2,2024,-1.18,0.35,0.054126995257804,2.068672593794868,,,644433,1,5,Bot,161.67,73.02,,,,,4.095054770160002,-128.46062848608938,-4.49933859869738,-13.954868262191564,23.13365218005748,-27.65507728006072,3.54,1.61,289,101.4,16,88.7,1736,6.2,747119,669134,630105,642180,592518,673490,595777,701538,665487,54.26,0.595,0.641,1.25,1,1,1,4,45,4,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,242,0.024,0.903,80.2,7.7,0.902,-0.903,101.4,4,4,0.929,0.929,27,26,27,27,1,3,31,1,53,0,2.55,1.18,1.18,46.2,6.977659116941617,13.532862434407958,34.80544305264724,40.60185779482302,27.95071729841971
FF,2024-05-20,96.6,-0.18,6.3,"Gillaspie, Logan",660670,670810,,foul,,,,,7,Foul,R,R,R,ATL,SD,S,,,0,2,2024,-0.6,1.47,-0.3011560570700331,2.1443073229327663,,,644433,1,5,Bot,,,,,,,1.0408828795207818,-140.42638660965986,-8.795262748137167,-8.220850355124497,32.71774567504759,-10.926845634162731,3.54,1.61,153,75.0,14,96.2,2325,6.2,747119,669134,630105,642180,592518,673490,595777,701538,665487,54.3,,,,,,,,45,3,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,210,0.0,0.0,75.7,6.9,,0.0,88.0,4,4,0.929,0.929,27,26,27,27,1,3,31,1,53,0,0.98,0.6,0.6,53.9,-9.50430041367733,25.087807141222665,42.0763250291062,35.76136640701208,17.66261483884672
CH,2024-05-20,89.8,-0.68,6.03,"Gillaspie, Logan",660670,670810,,swinging_strike,,,,,8,Swinging Strike,R,R,R,ATL,SD,S,,,0,1,2024,-1.15,0.52,0.2052536496175319,1.8112323088756683,,,644433,1,5,Bot,,,,,,,4.621543730229497,-130.62591849835644,-5.553127170855755,-14.107361553600509,26.923980766630873,-25.313058958026566,3.54,1.61,,,,89.8,1792,6.2,747119,669134,630105,642180,592518,673490,595777,701538,665487,54.27,,,,,,,,45,2,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,234,-0.002,-0.052,78.2,8.1,,0.052,,4,4,0.931,0.931,27,26,27,27,1,3,31,1,53,0,2.31,1.15,1.15,46.4,13.516306145147643,0.3520382506946493,30.75543638478013,42.934484303953745,33.03660854051519
FF,2024-05-20,95.3,-0.5,6.2,"Gillaspie, Logan",660670,670810,,swinging_strike,,,,,5,Swinging Strike,R,R,R,ATL,SD,S,,,0,0,2024,-0.55,1.39,0.0299874290110394,2.5100594077467324,,,644433,1,5,Bot,,,,,,,2.6367118219569927,-138.58975378493986,-7.149151410263355,-7.671750351034379,30.881420321629147,-12.921033550871895,3.54,1.61,,,,95.2,2254,6.3,747119,669134,630105,642180,592518,673490,595777,701538,665487,54.23,,,,,,,,45,1,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,211,-0.001,-0.04,78.6,7.5,,0.04,,4,4,0.932,0.932,27,26,27,27,1,3,31,1,53,0,1.13,0.55,0.55,51.7,4.463013545284784,19.70160371303305,34.95043594333086,42.68567142474715,19.44705929721065
ST,2024-05-20,84.2,-1.72,6.04,"Cease, Dylan",660670,656302,single,hit_into_play,,,,,9,Ronald Acuña Jr. singles on a ground ball to second baseman Xander Bogaerts. Orlando Arcia scores. Zack Short to 3rd. Jarred Kelenic to 2nd.,R,R,R,ATL,SD,X,4,ground_ball,0,0,2024,0.84,-1.0,0.5896784443239181,1.7354546712904444,606115,670097,672284,2,3,Bot,147.33,146.37,,,,,3.69034385754006,-122.5086651795676,-1.5660801405459055,7.605938945355809,26.21657335363439,-42.040499725172225,3.54,1.61,101,91.1,7,83.8,3069,6.2,747119,669134,630105,593428,592518,673490,595777,701538,665487,54.27,0.542,0.511,0.9,1,1,0,4,29,1,Sweeper,4,0,4,0,0,5,5,0,Standard,Standard,32,0.035,0.522,70.8,7.8,0.628,-0.522,91.1,4,4,0.902,0.902,28,26,29,27,3,2,6,1,5,0,4.23,-0.84,-0.84,46.6,2.209206958269222,13.136046515748223,34.52602210606374,48.83305307104625,29.143647895539264
FF,2024-05-20,96.1,-1.45,6.36,"Cease, Dylan",660670,656302,field_out,hit_into_play,,,,,1,Ronald Acuña Jr. flies out to center fielder Jackson Merrill.,R,R,R,ATL,SD,X,8,fly_ball,3,1,2024,-0.19,1.58,-0.7712194688726065,2.994818016173412,,,644433,1,2,Bot,111.85,81.7,,,,,2.22455806394254,-139.7789120968689,-6.891695218097686,-3.004258100630489,32.7116624738731,-10.124083095438612,3.54,1.61,294,95.8,46,96.0,2498,6.3,747119,669134,630105,593428,592518,673490,595777,701538,665487,54.18,0.003,0.002,0.0,1,0,0,3,16,5,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,189,-0.031,-0.402,71.0,6.9,0.003,0.402,95.8,2,2,0.759,0.759,28,26,29,27,2,1,6,1,5,0,0.9,0.19,0.19,51.7,11.874952989896864,-2.2772711673036716,29.359215923422667,31.02421870670755,31.861323804975157
FF,2024-05-20,96.1,-1.35,6.34,"Cease, Dylan",660670,656302,,ball,,,,,13,Ball,R,R,R,ATL,SD,B,,,2,1,2024,-0.15,1.72,-0.8111589343691855,1.5327959308768433,,,644433,1,2,Bot,,,,,,,1.7593559231752909,-139.64656165859574,-11.004206147541412,-2.302333652342646,31.98935233001413,-7.400348039775141,3.51714539196904,1.60429587157711,,,,95.9,2624,6.3,747119,669134,630105,593428,592518,673490,595777,701538,665487,54.19,,,,,,,,16,4,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,190,0.007,0.112,,,,-0.112,,2,2,0.752,0.752,28,26,29,27,2,1,6,1,5,0,0.76,0.15,0.15,55.4,,,,,
ST,2024-05-20,82.5,-1.94,6.04,"Cease, Dylan",660670,656302,,blocked_ball,,,,,14,Ball In Dirt,R,R,R,ATL,SD,B,,,1,1,2024,0.97,-1.01,1.0605079706042542,0.62111051365715,,,644433,1,2,Bot,,,,,,,4.9253840897243615,-119.99767160762111,-3.7488085717053456,8.193917576142477,26.54685982386628,-41.223957848996776,3.47187552450954,1.55932177625349,,,,82.1,2983,6.4,747119,669134,630105,593428,592518,673490,595777,701538,665487,54.15,,,,,,,,16,3,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,26,0.004,0.046,,,,-0.046,,2,2,0.748,0.748,28,26,29,27,2,1,6,1,5,0,4.4,-0.97,-0.97,46.3,,,,,
FF,2024-05-20,96.8,-1.29,6.36,"Cease, Dylan",660670,656302,,called_strike,,,,,9,Called Strike,R,R,R,ATL,SD,S,,,1,0,2024,-0.4,1.45,0.2827994980011135,1.777866147953854,,,644433,1,2,Bot,,,,,,,5.112186740282388,-140.69504701571387,-9.985307159888512,-6.465597903495921,30.80676574578476,-10.885410598634383,3.44482811084868,1.66697157666142,,,,96.8,2505,6.3,747119,669134,630105,593428,592518,673490,595777,701538,665487,54.21,,,,,,,,16,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,193,-0.004,-0.047,,,,0.047,,2,2,0.752,0.752,28,26,29,27,2,1,6,1,5,0,0.98,0.4,0.4,55.1,,,,,
FF,2024-05-20,97.0,-1.44,6.41,"Cease, Dylan",660670,656302,,ball,,,,,2,Ball,R,R,R,ATL,SD,B,,,0,0,2024,-0.34,1.34,-0.1391454959880622,3.529394865454164,,,644433,1,2,Bot,,,,,,,4.2464100862700365,-141.17328928712044,-5.21169042787853,-5.4826462797314655,32.63558896731073,-13.338989866077974,3.53895824291718,1.69354059778013,,,,96.8,2495,6.2,747119,669134,630105,593428,592518,673490,595777,701538,665487,54.32,,,,,,,,16,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,192,0.003,0.036,,,,-0.036,,2,2,0.749,0.749,28,26,29,27,2,1,6,1,5,0,1.09,0.34,0.34,52.2,,,,,
SL,2024-05-20,88.5,-1.41,6.37,"Cease, Dylan",660670,656302,single,hit_into_play,,,,,6,Ronald Acuña Jr. singles on a line drive to left fielder Jurickson Profar.,R,R,R,ATL,SD,X,7,line_drive,2,2,2024,-0.07,0.18,0.656872026191483,2.6799736641192817,,,,0,1,Bot,80.08,105.24,,,,,5.159451680142437,-128.8785109883053,-3.3206113199375986,-1.8394759492818764,26.52439791877185,-29.66025325241063,3.54,1.61,260,95.6,18,88.2,2772,6.0,747119,669134,630105,593428,592518,673490,595777,701538,665487,54.45,0.445,0.467,0.9,1,1,0,4,4,6,Slider,0,0,0,0,0,0,0,0,Standard,Standard,120,0.038,0.476,75.6,8.1,0.647,-0.476,95.6,0,0,0.545,0.545,28,26,29,27,1,0,6,1,5,0,2.72,0.07,0.07,54.6,18.316432419100487,-1.9804591594690557,27.27652182410415,46.316528206330496,36.70594340786552
