pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2024-05-25,93.6,-1.96,5.52,"Holderman, Colin",660670,670059,,ball,,,,,14,Ball,R,R,R,PIT,ATL,B,,,0,1,2024,0.14,0.72,1.9527211321507985,1.935361880209163,,,670097,2,7,Top,,,,,,,9.877704541220472,-135.99370914822862,-5.179772371806926,-0.1724977072783965,27.131786645541,-22.271140584598463,3.55477522843774,1.69224332913387,,,,94.8,2491,6.9,745493,518735,656582,693304,669707,665833,668804,678225,658668,53.62,,,,,,,,53,2,Cutter,3,1,1,3,1,3,1,3,Standard,Strategic,204,-0.003,0.032,,,,-0.032,,2,-2,0.859,0.141,28,26,29,27,1,3,3,1,4,1,1.87,-0.14,-0.14,30.0,,,,,
FC,2024-05-25,93.0,-2.08,5.54,"Holderman, Colin",660670,670059,,called_strike,,,,,14,Called Strike,R,R,R,PIT,ATL,S,,,0,0,2024,0.32,0.63,1.0082853931006424,2.019382299513297,,,670097,2,7,Top,,,,,,,7.270410397875907,-135.35953714144782,-4.714559947626498,2.5185967938366303,27.627589088560075,-23.567868914843476,3.50017633429031,1.57026736923416,,,,94.1,2550,6.8,745493,518735,656582,693304,669707,665833,668804,678225,658668,53.71,,,,,,,,53,1,Cutter,3,1,1,3,1,3,1,3,Standard,Strategic,191,0.005,-0.047,,,,0.047,,2,-2,0.854,0.146,28,26,29,27,1,3,3,1,4,1,1.99,-0.32,-0.32,31.2,,,,,
FF,2024-05-25,94.8,-1.87,5.83,"Keller, Mitch",660670,656605,single,hit_into_play,,,,,1,Ronald Acuña Jr. singles on a ground ball to third baseman Jared Triolo.,R,R,R,PIT,ATL,X,5,ground_ball,1,2,2024,-0.62,1.28,-0.5962747318108523,3.282680397887267,,,,1,5,Top,99.94,170.97,,,,,4.755628062400296,-137.9541110945414,-3.9013378822524016,-9.004510158665575,30.055363631867618,-15.086171889909307,3.54,1.63,48,92.8,-1,95.4,2396,6.6,745493,518735,656582,693304,669707,665833,668804,678225,658668,53.94,0.379,0.346,0.9,1,1,0,2,36,4,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Strategic,218,-0.039,0.495,75.0,7.5,0.403,-0.495,92.8,2,-2,0.786,0.2139999999999999,28,26,28,27,3,2,6,1,7,1,1.25,0.62,0.62,36.4,18.505269287837745,-13.72829175615745,24.69999711101305,27.281574326718932,33.28851029450723
ST,2024-05-25,85.4,-1.93,5.72,"Keller, Mitch",660670,656605,,called_strike,,,,,6,Called Strike,R,R,R,PIT,ATL,S,,,1,1,2024,0.99,-0.12,0.6981328936341723,2.3483959498507803,,,,1,5,Top,,,,,,,4.2165392986217585,-124.3522981259048,-1.4372698319303667,9.500044843915385,24.16546344432135,-33.334176839373676,3.49597545583102,1.63257026267804,,,,86.2,2862,6.7,745493,518735,656582,693304,669707,665833,668804,678225,658668,53.82,,,,,,,,36,3,Sweeper,3,1,1,3,1,3,1,3,Standard,Strategic,56,0.005,-0.061,,,,0.061,,2,-2,0.781,0.2189999999999999,28,26,28,27,3,2,6,1,7,1,3.23,-0.99,-0.99,36.8,,,,,
SL,2024-05-25,90.1,-1.77,5.99,"Keller, Mitch",660670,656605,,called_strike,,,,,3,Called Strike,R,R,R,PIT,ATL,S,,,1,0,2024,0.38,0.22,0.5041746841681329,3.5795125429703667,,,,1,5,Top,,,,,,,4.901230105875964,-131.33683842682908,-0.5681036614711308,3.4820185568360538,24.761823319163582,-29.712034943315285,3.5493997388439,1.70275448790888,,,,91.3,2512,6.7,745493,518735,656582,693304,669707,665833,668804,678225,658668,53.82,,,,,,,,36,2,Slider,3,1,1,3,1,3,1,3,Standard,Strategic,182,0.004,-0.051,,,,0.051,,2,-2,0.777,0.2229999999999999,28,26,28,27,3,2,6,1,7,1,2.55,-0.38,-0.38,40.8,,,,,
SI,2024-05-25,93.4,-1.96,5.75,"Keller, Mitch",660670,656605,,ball,,,,,11,Ball,R,R,R,PIT,ATL,B,,,0,0,2024,-1.12,0.81,-1.5332620772643395,3.1338226072083826,,,,1,5,Top,,,,,,,3.566497017715326,-136.17852079561234,-2.8580571324439568,-14.692230535422231,26.097691446755604,-21.642797769891544,3.54941321485082,1.63432847350123,,,,94.3,2489,6.4,745493,518735,656582,693304,669707,665833,668804,678225,658668,54.07,,,,,,,,36,1,Sinker,3,1,1,3,1,3,1,3,Standard,Strategic,215,-0.003,0.039,,,,-0.039,,2,-2,0.78,0.2199999999999999,28,26,28,27,3,2,6,1,7,1,1.77,1.12,1.12,34.2,,,,,
SI,2024-05-25,95.2,-2.01,5.69,"Keller, Mitch",660670,656605,field_out,hit_into_play,,,,,4,Ronald Acuña Jr. flies out to center fielder Ji Hwan Bae.,R,R,R,PIT,ATL,X,8,fly_ball,2,0,2024,-1.04,0.87,-0.6392519896363048,2.67497398252013,,,,1,3,Top,133.33,62.71,,,,,5.951726225091798,-138.5488156469954,-4.230141709591702,-14.708854831625022,31.90893018283354,-20.17180674065474,3.54,1.63,339,94.1,25,95.5,2513,6.5,745493,518735,656582,693304,669707,665833,668804,678225,658668,53.97,0.153,0.178,0.0,1,0,0,3,17,3,Sinker,0,0,0,0,0,0,0,0,Standard,Strategic,223,0.026,-0.367,77.8,7.3,0.301,0.367,94.1,0,0,0.517,0.483,28,26,28,27,2,1,6,1,7,1,1.65,1.04,1.04,36.4,10.149065608130458,1.27321984903698,35.33285714243571,30.429629039061492,28.40698013534263
FC,2024-05-25,93.0,-1.93,5.82,"Keller, Mitch",660670,656605,,ball,,,,,14,Ball,R,R,R,PIT,ATL,B,,,1,0,2024,0.42,0.66,1.9692456764203647,1.135730883293377,,,,1,3,Top,,,,,,,9.078487475012638,-135.0624789194584,-7.725666640977498,3.4371983357453684,26.407765638423715,-22.63639903702472,3.55297760782605,1.68507571392978,,,,93.4,2589,6.4,745493,518735,656582,693304,669707,665833,668804,678225,658668,54.11,,,,,,,,17,2,Cutter,0,0,0,0,0,0,0,0,Standard,Strategic,193,-0.005,0.072,,,,-0.072,,0,0,0.522,0.478,28,26,28,27,2,1,6,1,7,1,1.96,-0.42,-0.42,39.4,,,,,
FF,2024-05-25,96.0,-1.93,5.83,"Keller, Mitch",660670,656605,,ball,,,,,1,Ball,R,R,R,PIT,ATL,B,,,0,0,2024,-0.86,1.05,-0.4214082934243846,3.368287102638421,,,,1,3,Top,,,,,,,6.0060117625505915,-139.8176416713409,-3.372698094227509,-12.654081267518382,29.511395769129653,-17.81608777873614,3.56609046179055,1.61441375244785,,,,97.1,2379,6.7,745493,518735,656582,693304,669707,665833,668804,678225,658668,53.8,,,,,,,,17,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,222,-0.003,0.039,,,,-0.039,,0,0,0.525,0.475,28,26,28,27,2,1,6,1,7,1,1.41,0.86,0.86,37.1,,,,,
FC,2024-05-25,91.5,-1.86,5.85,"Keller, Mitch",660670,656605,field_out,hit_into_play,,,,,5,Ronald Acuña Jr. flies out to left fielder Bryan Reynolds.,R,R,R,PIT,ATL,X,7,fly_ball,0,0,2024,0.24,0.49,0.2448741845913655,2.5200599966220123,,,,0,1,Top,75.98,58.92,,,,,4.819314713060785,-133.34258783860145,-3.70669368214616,2.0163060927089393,24.205556186343713,-25.778940504636555,3.54000009895214,1.63000003475195,367,99.4,25,92.8,2487,6.6,745493,518735,656582,693304,669707,665833,668804,678225,658668,53.88,0.402,0.6991923076923078,0.0,1,0,0,6,1,1,Cutter,0,0,0,0,0,0,0,0,Infield shade,Standard,195,0.022,-0.254,86.7,7.9,1.315,0.254,99.4,0,0,0.5,0.5,28,26,28,27,1,0,6,1,7,1,2.19,-0.24,-0.24,36.4,15.184715008712493,-8.450062314646079,33.61835047742589,40.46696164527717,37.7090187072114
SI,2024-05-24,93.2,1.28,5.7,"Falter, Bailey",660670,663559,home_run,hit_into_play,,,,,5,Ronald Acuña Jr. homers (4) on a fly ball to center field. Michael Harris II scores. Zack Short scores.,R,R,L,PIT,ATL,X,,fly_ball,2,2,2024,0.68,1.25,-0.0656974853380135,2.332081603640572,,671739,670097,1,8,Top,162.11,42.74,,,,,-5.104866995179822,-135.7259613272496,-5.83311179066521,9.530638706588473,27.177391593813073,-15.6861341496657,3.54,1.64,397,103.6,27,95.9,1768,7.6,745501,518735,656582,693304,669707,675961,668804,572191,658668,52.87,0.73,1.4502727272727272,2.0,1,0,3,6,67,5,Sinker,11,0,0,11,3,11,3,11,Standard,Strategic,173,0.0,1.232,,,2.844,-1.232,103.6,11,-11,0.999,0.001,27,26,27,27,4,3,6,1,7,1,1.36,0.68,-0.68,50.2,,,,,
FF,2024-05-24,92.2,1.05,5.76,"Falter, Bailey",660670,663559,,ball,,,,,11,Ball,R,R,L,PIT,ATL,B,,,1,2,2024,0.1,1.14,-1.212474896998613,2.6165577271259557,,671739,670097,1,8,Top,,,,,,,-6.116109938648792,-134.27176924568855,-4.799444203460574,2.394011001410038,26.34621627311538,-17.519115215136924,3.55343494218719,1.58347886072578,,,,94.6,1923,7.5,745501,518735,656582,693304,669707,675961,668804,572191,658668,53.04,,,,,,,,67,4,4-Seam Fastball,11,0,0,11,0,11,0,11,Standard,Strategic,173,0.0,0.035,,,,-0.035,,11,-11,0.999,0.001,27,26,27,27,4,3,6,1,7,1,1.52,0.1,-0.1,53.0,,,,,
SI,2024-05-24,92.7,1.35,5.72,"Falter, Bailey",660670,663559,,foul,,,,,5,Foul,R,R,L,PIT,ATL,S,,,1,1,2024,0.52,1.29,0.0942085478489973,2.2512355203567203,,671739,670097,1,8,Top,,,,,,,-4.452915447927567,-134.88347580144466,-6.070977562237189,7.3115625508046,26.498701300742848,-15.2750190090045,3.54,1.64,,,,95.3,1929,7.6,745501,518735,656582,693304,669707,675961,668804,572191,658668,52.92,,,,,,,,67,3,Sinker,11,0,0,11,0,11,0,11,Standard,Strategic,163,0.0,-0.04,76.5,7.0,,0.04,,11,-11,0.999,0.001,27,26,27,27,4,3,6,1,7,1,1.34,0.52,-0.52,52.5,-5.2734868177792595,26.41078957434333,39.65544526565843,37.72720074033145,20.20340629817629
FF,2024-05-24,91.9,1.3,5.74,"Falter, Bailey",660670,663559,,foul,,,,,4,Foul,R,R,L,PIT,ATL,S,,,1,0,2024,0.23,1.45,-0.2870269231877865,2.6512672778254633,,671739,670097,1,8,Top,,,,,,,-4.601288802448339,-133.69849032510842,-5.233491508380473,3.693201926092544,28.49932594830463,-13.813733589709525,3.54,1.64,151,77.1,13,93.9,2114,7.5,745501,518735,656582,693304,669707,675961,668804,572191,658668,53.04,,,,,,,,67,2,4-Seam Fastball,11,0,0,11,0,11,0,11,Standard,Strategic,173,0.0,-0.054,80.2,7.5,,0.054,88.0,11,-11,0.999,0.001,27,26,27,27,4,3,6,1,7,1,1.24,0.23,-0.23,50.1,10.234539665755433,9.005445425529857,35.78895262041588,34.536998794046326,28.319806463386676
FF,2024-05-24,92.1,1.22,5.67,"Falter, Bailey",660670,663559,,ball,,,,,13,Ball,R,R,L,PIT,ATL,B,,,0,0,2024,0.14,1.42,-1.279332871723332,2.082981131450736,,671739,670097,1,8,Top,,,,,,,-6.7922196896818345,-133.86441173987856,-6.497403500450262,3.140036610559108,28.19726264207213,-13.900132353931628,3.59624225216686,1.72516076847946,,,,94.1,2106,7.5,745501,518735,656582,693304,669707,675961,668804,572191,658668,53.02,,,,,,,,67,1,4-Seam Fastball,11,0,0,11,0,11,0,11,Standard,Strategic,178,0.0,0.03,,,,-0.03,,11,-11,0.999,0.001,27,26,27,27,4,3,6,1,7,1,1.27,0.14,-0.14,56.4,,,,,
FF,2024-05-24,91.9,1.15,5.75,"Falter, Bailey",660670,663559,field_out,hit_into_play,,,,,4,"Ronald Acuña Jr. grounds out, shortstop Oneil Cruz to first baseman Connor Joe.",R,R,L,PIT,ATL,X,6,ground_ball,1,1,2024,0.46,1.46,-0.4735010104918484,2.4725975001808727,,,,0,6,Top,108.42,147.83,,,,,-5.239443867768785,-133.67978020121348,-5.76015560689249,6.56324282389744,27.192097511909783,-13.657767697091373,3.54,1.64,11,82.3,-12,94.3,1968,7.6,745501,518735,656582,693304,669707,665833,668804,572191,658668,52.94,0.091,0.082,0.0,1,0,0,2,45,3,4-Seam Fastball,7,0,0,7,0,7,0,7,Standard,Strategic,170,0.004,-0.243,80.4,7.2,0.095,0.243,88.0,7,-7,0.985,0.015,27,26,27,27,3,2,6,1,7,1,1.23,0.46,-0.46,54.5,2.9449152903802,11.159764414094605,37.11784068087423,30.57864909784972,28.199343218640426
