Name,Team,batter,season,G,PA,AB,H,2B,3B,HR,BB,K,HBP,SF,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,BIP%,wOBA,wRC+,WAR,age_bat_median,K_BB_ratio,contact_rate
Unknown_455976,ATL,455976,2018,166,720,635,186,43,2,14,75,82,1,9,0.293,0.364,0.433,0.797,0.14,0.314,0.1042,0.1139,0.7806,0.359,118.7,4.1,35.0,1.0930902111324377,0.8861
Unknown_624424,NYM,624424,2018,153,638,543,132,25,1,28,84,159,7,4,0.243,0.35,0.448,0.797,0.204,0.289,0.1317,0.2492,0.6082,0.359,118.7,3.6,25.0,1.8921791951404707,0.7508
Unknown_605480,TB,605480,2018,136,544,480,142,27,10,2,47,98,8,2,0.296,0.367,0.406,0.773,0.11,0.366,0.0864,0.1801,0.7059,0.358,118.0,3.1,25.0,2.084490740740741,0.8199
Unknown_621311,COL,621311,2018,80,282,260,68,11,3,16,19,71,1,2,0.262,0.312,0.512,0.824,0.25,0.297,0.0674,0.2518,0.6773,0.357,117.4,1.6,24.0,3.735905044510386,0.7482
Unknown_592669,SD,592669,2018,117,441,403,100,23,1,26,30,109,3,5,0.248,0.302,0.504,0.805,0.256,0.271,0.068,0.2472,0.678,0.357,117.4,2.4,26.0,3.635294117647059,0.7528
Unknown_572816,PIT,572816,2018,135,533,504,151,35,7,13,21,80,4,4,0.3,0.33,0.474,0.804,0.175,0.333,0.0394,0.1501,0.803,0.357,117.4,3.0,29.0,3.809644670050762,0.8499
Unknown_493316,NYM,493316,2018,38,157,141,37,6,0,9,13,50,1,2,0.262,0.325,0.496,0.821,0.234,0.333,0.0828,0.3185,0.5924,0.357,117.4,0.9,33.0,3.8466183574879227,0.6815
Unknown_621035,LAD,621035,2018,155,618,549,142,35,9,18,56,181,9,4,0.259,0.335,0.454,0.789,0.195,0.35,0.0906,0.2929,0.6019,0.356,116.7,3.4,28.0,3.2328918322295803,0.7071000000000001
Unknown_476704,ATH,476704,2018,158,684,600,159,37,1,23,78,129,3,3,0.265,0.351,0.445,0.796,0.18,0.302,0.114,0.1886,0.693,0.356,116.7,3.7,34.0,1.6543859649122805,0.8114
Unknown_543068,TB,543068,2018,140,560,501,127,28,1,30,37,145,17,5,0.253,0.323,0.493,0.816,0.24,0.293,0.0661,0.2589,0.6446,0.356,116.7,3.1,28.0,3.9167927382753405,0.7411
Unknown_592200,CIN,592200,2018,51,156,140,41,10,0,4,12,32,2,1,0.293,0.355,0.45,0.805,0.157,0.352,0.0769,0.2051,0.6987,0.356,116.7,0.9,30.0,2.667100130039012,0.7948999999999999
Unknown_592696,MIN,592696,2018,136,592,559,161,31,2,24,30,104,0,2,0.288,0.323,0.479,0.803,0.191,0.316,0.0507,0.1757,0.772,0.356,116.7,3.2,27.0,3.4654832347140037,0.8243
Unknown_650402,NYY,650402,2018,127,502,447,121,16,1,24,44,125,5,5,0.271,0.339,0.472,0.811,0.201,0.32,0.0876,0.249,0.6514,0.355,116.0,2.7,22.0,2.8424657534246576,0.751
Unknown_457705,SF,457705,2018,160,701,587,147,30,3,20,96,148,11,7,0.25,0.362,0.414,0.776,0.164,0.298,0.1369,0.2111,0.6362,0.355,116.0,3.8,32.0,1.54200146092038,0.7888999999999999
Unknown_592192,ATH,592192,2018,120,412,366,91,22,0,17,34,89,10,2,0.249,0.328,0.448,0.776,0.199,0.282,0.0825,0.216,0.6772,0.355,116.0,2.2,29.0,2.618181818181818,0.784
Unknown_607208,WSH,607208,2018,161,740,664,180,27,6,19,69,132,5,0,0.271,0.344,0.416,0.76,0.145,0.314,0.0932,0.1784,0.7189,0.355,116.0,4.0,25.0,1.9141630901287552,0.8216
Unknown_622168,STL,622168,2018,103,329,293,81,16,0,8,30,71,4,2,0.276,0.35,0.413,0.763,0.137,0.338,0.0912,0.2158,0.6809,0.355,116.0,1.8,23.0,2.3662280701754383,0.7842
Unknown_622666,ATL,622666,2018,138,540,479,126,27,1,19,52,113,6,3,0.263,0.341,0.443,0.783,0.18,0.306,0.0963,0.2093,0.6833,0.354,115.4,2.9,25.0,2.173416407061267,0.7907
Unknown_621566,ATH,621566,2018,161,664,582,143,33,0,29,72,163,8,2,0.246,0.336,0.452,0.788,0.206,0.291,0.1084,0.2455,0.634,0.354,115.4,3.5,24.0,2.2647601476014763,0.7545
Unknown_621563,TB,621563,2018,139,545,487,146,33,6,7,37,96,9,10,0.3,0.354,0.435,0.789,0.136,0.353,0.0679,0.1761,0.7358,0.354,115.4,2.9,28.0,2.593519882179676,0.8239
Unknown_605137,PIT,605137,2018,148,583,501,131,31,4,12,77,104,0,5,0.261,0.357,0.411,0.768,0.15,0.305,0.1321,0.1784,0.6895,0.353,114.7,3.0,26.0,1.3504920514761545,0.8216
Unknown_518614,AZ,518614,2018,138,423,350,83,22,4,13,64,110,2,7,0.237,0.352,0.434,0.787,0.197,0.299,0.1513,0.26,0.5816,0.353,114.7,2.2,32.0,1.7184401850627893,0.74
Unknown_614173,SD,614173,2018,38,154,139,33,5,1,7,14,55,0,0,0.237,0.307,0.439,0.746,0.201,0.338,0.0909,0.3571,0.5455,0.353,114.7,0.8,24.0,3.9284928492849285,0.6429
Unknown_435062,WSH,435062,2018,40,160,152,46,14,0,4,5,29,2,1,0.303,0.331,0.474,0.805,0.171,0.35,0.0312,0.1812,0.775,0.353,114.7,0.8,35.0,5.807692307692308,0.8188
Unknown_454560,SD,454560,2018,64,183,151,41,8,0,1,26,37,1,2,0.272,0.378,0.344,0.722,0.073,0.348,0.1421,0.2022,0.6339,0.352,114.0,0.9,37.0,1.422941590429275,0.7978000000000001
Unknown_471865,COL,471865,2018,136,518,475,130,32,5,16,39,118,1,3,0.274,0.328,0.463,0.791,0.189,0.331,0.0753,0.2278,0.695,0.351,113.4,2.6,33.0,3.0252324037184595,0.7722
Unknown_664023,CHC,664023,2018,135,463,387,90,19,2,15,71,167,3,2,0.233,0.354,0.408,0.762,0.176,0.362,0.1533,0.3607,0.4795,0.351,113.4,2.3,24.0,2.3529028049576,0.6393
Unknown_553869,PIT,553869,2018,81,277,252,72,12,0,10,21,40,1,3,0.286,0.339,0.452,0.792,0.167,0.302,0.0758,0.1444,0.7762,0.351,113.4,1.4,28.0,1.905013192612137,0.8556
Unknown_605119,MIA,605119,2018,156,670,590,161,34,4,11,62,129,16,2,0.273,0.357,0.4,0.757,0.127,0.332,0.0925,0.1925,0.691,0.351,113.4,3.4,25.0,2.081081081081081,0.8075
Unknown_448602,WSH,448602,2018,85,235,206,51,8,0,13,24,64,2,3,0.248,0.328,0.476,0.803,0.228,0.288,0.1021,0.2723,0.617,0.35,112.7,1.2,35.0,2.6669931439764936,0.7277
Unknown_595909,MIN,595909,2018,87,309,283,75,16,2,13,18,102,3,3,0.265,0.313,0.473,0.786,0.208,0.363,0.0583,0.3301,0.5955,0.35,112.7,1.5,26.0,5.6620926243567755,0.6698999999999999
Unknown_593871,MIN,593871,2018,77,333,302,87,18,3,6,25,62,2,1,0.288,0.345,0.427,0.773,0.139,0.345,0.0751,0.1862,0.7237,0.35,112.7,1.6,25.0,2.4793608521970705,0.8138
Unknown_594953,CWS,594953,2018,124,449,417,100,15,3,27,30,153,2,0,0.24,0.294,0.484,0.778,0.245,0.308,0.0668,0.3408,0.588,0.35,112.7,2.2,27.0,5.1017964071856285,0.6592
Unknown_606466,AZ,606466,2018,151,580,520,135,26,12,14,54,79,3,2,0.26,0.332,0.437,0.768,0.177,0.282,0.0931,0.1362,0.7638,0.35,112.7,2.9,25.0,1.4629430719656282,0.8638
Unknown_547989,CWS,547989,2018,128,553,499,132,36,1,22,37,109,11,6,0.265,0.325,0.473,0.798,0.208,0.294,0.0669,0.1971,0.7161,0.35,112.7,2.7,31.0,2.9461883408071747,0.8029
Unknown_640457,PIT,640457,2018,58,191,178,51,9,2,6,10,40,1,2,0.287,0.325,0.461,0.785,0.174,0.336,0.0524,0.2094,0.733,0.349,112.0,0.9,23.0,3.99618320610687,0.7906
Unknown_595777,TEX,595777,2018,145,594,524,133,35,6,20,54,88,12,4,0.254,0.335,0.458,0.793,0.204,0.269,0.0909,0.1481,0.7407,0.349,112.0,2.9,25.0,1.6292629262926295,0.8519
Unknown_664056,STL,664056,2018,128,427,379,100,20,2,12,31,125,11,4,0.264,0.334,0.422,0.756,0.158,0.358,0.0726,0.2927,0.6042,0.349,112.0,2.1,24.0,4.03168044077135,0.7073
Unknown_594988,CIN,594988,2018,106,430,380,97,19,0,17,39,99,9,2,0.255,0.337,0.439,0.777,0.184,0.301,0.0907,0.2302,0.6581,0.349,112.0,2.1,28.0,2.5380374862183017,0.7698
Unknown_467793,PHI,467793,2018,161,679,560,128,28,2,24,110,93,1,8,0.229,0.352,0.414,0.766,0.186,0.231,0.162,0.137,0.6996,0.349,112.0,3.3,32.0,0.8456790123456791,0.863
Unknown_516416,SEA,516416,2018,144,632,586,178,29,3,10,32,69,4,6,0.304,0.341,0.415,0.755,0.111,0.327,0.0506,0.1092,0.8275,0.349,112.0,3.1,28.0,2.158102766798419,0.8908
Unknown_643393,HOU,643393,2018,96,301,260,69,16,0,6,34,45,3,1,0.265,0.356,0.396,0.752,0.131,0.3,0.113,0.1495,0.7176,0.348,111.4,1.4,27.0,1.323008849557522,0.8505
Unknown_545341,TOR,545341,2018,117,462,424,104,32,1,25,27,122,8,3,0.245,0.301,0.502,0.803,0.257,0.282,0.0584,0.2641,0.6602,0.348,111.4,2.2,27.0,4.522260273972603,0.7359
Unknown_608336,TEX,608336,2018,148,577,500,103,24,1,40,74,207,3,0,0.206,0.312,0.498,0.81,0.292,0.249,0.1282,0.3588,0.5078,0.348,111.4,2.8,25.0,2.798751950078003,0.6412
Unknown_430832,NYM,430832,2018,122,399,325,66,18,0,13,67,111,6,1,0.203,0.348,0.378,0.727,0.175,0.262,0.1679,0.2782,0.5388,0.348,111.4,1.9,38.0,1.656938653960691,0.7218
Unknown_592743,LAA,592743,2018,146,600,554,162,26,5,11,35,44,5,5,0.292,0.337,0.417,0.754,0.125,0.3,0.0583,0.0733,0.8583,0.348,111.4,2.9,29.0,1.2572898799313894,0.9267
Unknown_547982,DET,547982,2018,83,353,318,81,15,3,11,30,77,3,2,0.255,0.323,0.425,0.747,0.17,0.302,0.085,0.2181,0.6884,0.348,111.4,1.7,30.0,2.565882352941176,0.7819
Unknown_493329,HOU,493329,2018,141,596,557,160,34,1,14,26,68,6,7,0.287,0.322,0.427,0.749,0.14,0.303,0.0436,0.1141,0.8322,0.347,110.7,2.8,34.0,2.61697247706422,0.8859
Unknown_514917,PHI,514917,2018,161,708,605,153,15,3,15,95,155,4,3,0.253,0.356,0.362,0.718,0.109,0.315,0.1342,0.2189,0.6398,0.347,110.7,3.3,28.0,1.6311475409836065,0.7811
Unknown_434158,TOR,434158,2018,123,406,346,83,22,2,13,54,107,4,1,0.24,0.348,0.428,0.776,0.188,0.308,0.133,0.2635,0.5911,0.346,110.0,1.9,37.0,1.981203007518797,0.7364999999999999
Unknown_572041,AZ,572041,2018,113,460,413,106,21,5,21,31,100,8,7,0.257,0.316,0.484,0.8,0.228,0.284,0.0674,0.2174,0.6957,0.346,110.0,2.1,31.0,3.225519287833828,0.7826
Unknown_455139,TEX,455139,2018,111,426,360,80,15,1,18,45,140,19,2,0.222,0.338,0.419,0.757,0.197,0.304,0.1056,0.3286,0.5211,0.346,110.0,2.0,34.0,3.1117424242424243,0.6714
Unknown_503556,HOU,503556,2018,146,575,510,129,27,3,17,54,132,4,2,0.253,0.328,0.418,0.746,0.165,0.309,0.0939,0.2296,0.6609,0.345,109.3,2.6,29.0,2.445154419595314,0.7704
Unknown_502517,WSH,502517,2018,92,356,332,98,15,0,12,21,41,0,3,0.295,0.334,0.449,0.783,0.154,0.305,0.059,0.1152,0.8258,0.345,109.3,1.6,33.0,1.952542372881356,0.8848
Unknown_640461,ATH,640461,2018,107,333,298,77,12,1,13,27,88,6,0,0.258,0.332,0.436,0.769,0.178,0.325,0.0811,0.2643,0.6306,0.345,109.3,1.5,26.0,3.258939580764488,0.7357
Unknown_641598,MIN,641598,2018,95,335,302,81,19,2,7,29,72,2,1,0.268,0.335,0.414,0.749,0.146,0.33,0.0866,0.2149,0.6896,0.345,109.3,1.5,27.0,2.481524249422633,0.7851
Unknown_571976,SD,571976,2018,83,343,312,79,25,1,11,30,94,0,1,0.253,0.318,0.446,0.763,0.192,0.327,0.0875,0.2741,0.6385,0.345,109.3,1.6,28.0,3.132571428571429,0.7259
Unknown_474832,SF,474832,2018,112,456,399,101,18,2,14,49,107,6,2,0.253,0.342,0.414,0.756,0.16,0.311,0.1075,0.2346,0.6447,0.345,109.3,2.1,30.0,2.182325581395349,0.7654
Unknown_596059,TEX,596059,2018,129,535,474,120,23,2,18,43,127,11,5,0.253,0.326,0.424,0.751,0.171,0.305,0.0804,0.2374,0.6579,0.344,108.7,2.4,24.0,2.9527363184079602,0.7626
Unknown_134181,TEX,134181,2018,119,481,433,118,23,1,15,34,96,6,8,0.273,0.328,0.434,0.763,0.162,0.312,0.0707,0.1996,0.7173,0.344,108.7,2.1,39.0,2.8231966053748234,0.8004
Unknown_571431,WSH,571431,2018,119,337,306,73,10,0,21,27,73,4,0,0.239,0.309,0.477,0.786,0.239,0.245,0.0801,0.2166,0.6914,0.344,108.7,1.5,30.0,2.7041198501872654,0.7834
Unknown_596748,PHI,596748,2018,131,465,433,117,17,1,22,29,62,0,3,0.27,0.314,0.467,0.78,0.196,0.27,0.0624,0.1333,0.8043,0.344,108.7,2.1,26.0,2.136217948717949,0.8667
Unknown_519346,MIL,519346,2018,94,278,247,54,10,3,16,29,97,2,0,0.219,0.306,0.478,0.783,0.259,0.284,0.1043,0.3489,0.5396,0.343,108.0,1.2,32.0,3.3451581975071907,0.6511
Unknown_570267,MIL,570267,2018,89,241,215,57,14,1,5,22,79,1,3,0.265,0.332,0.409,0.741,0.144,0.388,0.0913,0.3278,0.5768,0.342,107.3,1.0,26.0,3.590361445783132,0.6722
Unknown_518934,COL,518934,2018,132,599,548,150,34,2,15,40,85,2,7,0.274,0.322,0.425,0.747,0.151,0.297,0.0668,0.1419,0.7846,0.342,107.3,2.6,30.0,2.124251497005988,0.8581
Unknown_642715,TB,642715,2018,85,323,288,80,7,0,10,31,95,1,2,0.278,0.348,0.406,0.754,0.128,0.378,0.096,0.2941,0.6037,0.342,107.3,1.4,23.0,3.063541666666666,0.7059
Unknown_434778,TOR,434778,2018,130,471,413,103,15,0,21,50,95,3,5,0.249,0.331,0.438,0.769,0.189,0.272,0.1062,0.2017,0.6858,0.342,107.3,2.0,35.0,1.89924670433145,0.7983
Unknown_518626,TOR,518626,2018,55,231,198,47,14,0,8,32,58,0,1,0.237,0.342,0.429,0.771,0.192,0.293,0.1385,0.2511,0.6104,0.341,106.7,1.0,33.0,1.8129963898916965,0.7489
Unknown_543228,CLE,543228,2018,115,444,411,109,26,0,16,22,123,8,3,0.265,0.313,0.445,0.758,0.18,0.338,0.0495,0.277,0.6554,0.341,106.7,1.9,31.0,5.595959595959596,0.723
Unknown_467827,COL,467827,2018,139,452,409,118,17,0,6,33,76,5,3,0.289,0.347,0.374,0.721,0.086,0.339,0.073,0.1681,0.7434,0.341,106.7,1.9,31.0,2.302739726027397,0.8319
Unknown_606299,CIN,606299,2018,156,683,632,182,31,4,14,29,75,9,5,0.288,0.326,0.416,0.742,0.128,0.307,0.0425,0.1098,0.8228,0.341,106.7,2.9,24.0,2.5835294117647054,0.8902
Unknown_452678,NYM,452678,2018,147,592,546,143,36,1,23,41,119,3,2,0.262,0.316,0.458,0.774,0.196,0.296,0.0693,0.201,0.7247,0.341,106.7,2.5,33.0,2.9004329004329006,0.7989999999999999
Unknown_519058,KC,519058,2018,158,660,595,150,34,1,28,52,108,7,6,0.252,0.317,0.454,0.77,0.202,0.262,0.0788,0.1636,0.747,0.34,106.0,2.7,30.0,2.0761421319796955,0.8364
Unknown_460075,MIL,460075,2018,131,469,430,110,26,1,20,34,92,2,3,0.256,0.311,0.46,0.772,0.205,0.28,0.0725,0.1962,0.7271,0.34,106.0,1.9,35.0,2.7062068965517243,0.8038
Unknown_435559,ATL,435559,2018,105,396,355,96,24,0,12,22,44,13,6,0.27,0.331,0.439,0.77,0.169,0.275,0.0556,0.1111,0.8005,0.34,106.0,1.6,35.0,1.998201438848921,0.8889
Unknown_452655,SEA,452655,2018,135,501,437,114,22,7,11,51,79,6,7,0.261,0.341,0.419,0.76,0.158,0.291,0.1018,0.1577,0.7285,0.34,106.0,2.1,34.0,1.5491159135559922,0.8423
Unknown_516770,MIA,516770,2018,153,647,593,165,32,2,12,48,124,0,6,0.278,0.329,0.4,0.729,0.121,0.33,0.0742,0.1917,0.7342,0.34,106.0,2.7,28.0,2.58355795148248,0.8083
Unknown_542303,STL,542303,2018,148,628,583,163,16,2,23,38,110,3,4,0.28,0.325,0.432,0.757,0.153,0.308,0.0605,0.1752,0.758,0.34,106.0,2.6,28.0,2.8958677685950414,0.8248
