Name,Team,batter,season,G,PA,AB,H,2B,3B,HR,BB,K,HBP,SF,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,BIP%,wOBA,wRC+,WAR,age_bat_median,K_BB_ratio,contact_rate,cluster
Unknown_545361,LAA,545361,2018,140,608,472,147,24,4,39,122,124,10,4,0.311,0.9066265060240964,0.8373382624768948,1.086,0.8100263852242744,0.6298507462686568,0.9044734389561976,0.3939679547596607,0.5773,0.471,0.8576598311218335,0.7533333333333333,27.0,0.0096580145296749,0.6060320452403394,2
Unknown_605141,BOS,605141,2018,142,642,544,186,50,5,32,85,95,8,5,0.342,0.8343373493975904,0.8410351201478745,1.063,0.733509234828496,0.6895522388059702,0.5862068965517241,0.2622525918944392,0.7072,0.462,0.8335343787696019,0.76,26.0,0.0116299658740527,0.7377474081055608,2
Unknown_572228,NYY,572228,2018,52,182,160,50,5,1,15,21,49,1,0,0.312,0.7168674698795182,0.857670979667283,1.033,0.8337730870712401,0.6895522388059702,0.5069897483690587,0.547832233741753,0.6099,0.451,0.8041817450743867,0.3066666666666666,27.0,0.0351455817627884,0.452167766258247,2
Unknown_502110,BOS,502110,2018,156,676,590,193,37,2,44,73,149,4,9,0.327,0.7259036144578314,0.8243992606284658,1.02,0.7493403693931397,0.6955223880597016,0.472506989748369,0.4328463713477852,0.6657,0.446,0.790510655408122,0.7266666666666667,31.0,0.0294934823214774,0.5671536286522147,2
Unknown_592885,MIL,592885,2018,152,679,593,191,34,7,37,77,138,7,2,0.322,0.7439759036144579,0.7689463955637708,0.995,0.683377308707124,0.6955223880597016,0.4976700838769804,0.3923185673892554,0.673,0.434,0.7583433856051467,0.6866666666666666,27.0,0.0246767917329253,0.6076814326107445,2
Unknown_571970,LAD,571970,2018,144,506,412,107,17,2,37,87,140,5,2,0.26,0.7078313253012049,0.7504621072088724,0.973,0.820580474934037,0.4805970149253731,0.7702702702702703,0.5655042412818095,0.5415,0.426,0.7370325693606754,0.5266666666666666,28.0,0.0211496289852889,0.4344957587181906,2
Unknown_608324,HOU,608324,2018,162,729,606,175,52,1,33,106,86,14,3,0.289,0.7439759036144579,0.6783733826247691,0.946,0.6411609498680738,0.4656716417910447,0.646784715750233,0.191564561734213,0.7174,0.415,0.7076799356654604,0.6466666666666666,24.0,0.0057019429059637,0.8084354382657868,2
Unknown_592450,NYY,592450,2018,116,520,432,123,23,0,30,79,155,4,5,0.285,0.7168674698795182,0.6876155268022184,0.942,0.6675461741424802,0.701492537313433,0.6770736253494875,0.6159283694627709,0.5423,0.415,0.7076799356654604,0.5,26.0,0.0279786144348401,0.3840716305372289,2
Unknown_502671,AZ,502671,2018,158,690,594,172,35,5,33,90,173,6,0,0.29,0.6927710843373495,0.6617375231053606,0.92,0.6147757255936676,0.6686567164179104,0.5768872320596458,0.5042412818096135,0.6087,0.414,0.7048652995577,0.62,31.0,0.0272057621489112,0.4957587181903866,2
Unknown_457759,LAD,457759,2018,109,457,392,122,32,1,15,51,58,12,2,0.311,0.7439759036144579,0.6266173752310538,0.918,0.5092348284960422,0.5940298507462688,0.48928238583411,0.2125353440150801,0.7352,0.413,0.7020506634499395,0.4533333333333333,34.0,0.0120029854284757,0.7874646559849199,2
Unknown_608070,CLE,608070,2018,160,710,589,156,38,4,39,107,83,8,6,0.265,0.674698795180723,0.680221811460259,0.923,0.7071240105540897,0.3373134328358209,0.6714818266542404,0.1889726672950047,0.7211,0.411,0.6968234821069561,0.62,26.0,0.0050082218864526,0.811027332704995,2
Unknown_665742,WSH,665742,2018,116,494,414,121,25,1,22,79,99,0,0,0.292,0.746987951807229,0.6340110905730132,0.923,0.5699208443271768,0.6089552238805972,0.7143522833178005,0.3857210179076343,0.6377,0.408,0.6887816646562122,0.4666666666666667,20.0,0.0142518358385415,0.6142789820923655,2
Unknown_571448,COL,571448,2018,160,691,606,178,38,2,38,73,128,3,8,0.294,0.6325301204819277,0.6968576709796674,0.919,0.6543535620052771,0.5313432835820896,0.4613233923578751,0.3499057492931197,0.7033,0.403,0.6755126658624848,0.5733333333333334,27.0,0.0239393610898581,0.6500942507068803,2
Unknown_456665,BOS,456665,2018,81,273,234,67,15,1,11,32,48,5,2,0.286,0.6716867469879518,0.6025878003696858,0.881,0.5408970976253298,0.5432835820895523,0.5153774464119292,0.3277568331762489,0.6886,0.4,0.6674708484117409,0.3066666666666666,35.0,0.0190271652807257,0.6722431668237512,2
Unknown_656811,KC,656811,2018,44,170,149,39,10,2,12,20,45,1,0,0.262,0.5873493975903613,0.7818853974121998,0.95,0.8627968337730871,0.4746268656716418,0.5172413793103448,0.5372290292177191,0.6118,0.399,0.6646562123039808,0.24,25.0,0.0335602624156946,0.4627709707822811,2
Unknown_518692,ATL,518692,2018,166,724,634,195,44,4,24,77,135,7,6,0.308,0.6837349397590361,0.6081330868761554,0.889,0.4934036939313984,0.6626865671641792,0.4650512581547064,0.3529688972667295,0.6975,0.398,0.6618415761962202,0.5733333333333334,29.0,0.0239206185629239,0.6470311027332705,2
Unknown_595879,CHC,595879,2018,160,651,611,177,41,9,34,30,169,5,4,0.29,0.5060240963855422,0.7005545286506472,0.879,0.6728232189973615,0.635820895522388,0.1840633737185461,0.5252120640904806,0.6851,0.398,0.6618415761962202,0.5333333333333334,26.0,0.0989893858421935,0.4747879359095193,2
Unknown_660271,LAA,660271,2018,104,366,326,93,21,2,22,37,102,2,1,0.285,0.6114457831325301,0.7208872458410351,0.925,0.712401055408971,0.644776119402985,0.4403541472506989,0.5702167766258247,0.6148,0.398,0.6618415761962202,0.36,24.0,0.0433507907842572,0.4297832233741754,2
Unknown_607043,NYM,607043,2018,138,535,433,114,28,8,17,80,140,22,0,0.263,0.7409638554216867,0.5711645101663587,0.886,0.5540897097625329,0.6477611940298508,0.6658900279589934,0.5301602262016964,0.5477,0.398,0.6618415761962202,0.46,25.0,0.0238757548604921,0.4698397737983033,2
Unknown_660670,ATL,660670,2018,115,504,449,130,27,4,27,46,128,6,3,0.29,0.6114457831325301,0.6913123844731979,0.909,0.6569920844327176,0.635820895522388,0.3946877912395154,0.5120169651272385,0.6429,0.397,0.6590269400884599,0.44,21.0,0.043841659916609,0.4879830348727616,2
Unknown_596115,COL,596115,2018,161,674,616,179,44,6,37,47,175,7,4,0.291,0.5662650602409639,0.7171903881700556,0.907,0.6912928759894459,0.6388059701492538,0.2940354147250699,0.5252120640904806,0.6602,0.396,0.6566143948532368,0.54,26.0,0.0620841672495854,0.4747879359095193,2
Unknown_543685,WSH,543685,2018,135,597,529,163,44,2,24,55,82,5,8,0.308,0.6506024096385542,0.6672828096118302,0.909,0.575197889182058,0.564179104477612,0.3984156570363467,0.2372761545711593,0.7621,0.394,0.6509851226377161,0.4866666666666667,28.0,0.0188695470574758,0.7627238454288408,2
Unknown_547180,WSH,547180,2018,159,695,550,137,34,0,34,130,169,6,9,0.249,0.7078313253012049,0.5951940850277266,0.889,0.6279683377308707,0.4626865671641791,0.8410997204100652,0.486569274269557,0.5612,0.394,0.6509851226377161,0.54,26.0,0.0151529582140497,0.5134307257304431,2
Unknown_592518,BAL,592518,2018,169,739,660,196,37,3,40,72,112,2,5,0.297,0.6234939759036146,0.6839186691312387,0.909,0.6279683377308707,0.5074626865671642,0.4231127679403541,0.2707351555136664,0.7483,0.393,0.6485725774024929,0.56,26.0,0.0201201359992368,0.7292648444863337,2
Unknown_593428,BOS,593428,2018,141,607,537,155,45,3,24,57,103,6,7,0.289,0.6054216867469878,0.635859519408503,0.877,0.5804749340369393,0.5373134328358209,0.4068033550792171,0.3133836003770028,0.7265,0.393,0.6485725774024929,0.4866666666666667,26.0,0.0249739883793978,0.6866163996229973,2
Unknown_643603,HOU,643603,2018,70,253,221,61,13,3,12,27,54,4,1,0.276,0.6204819277108434,0.6487985212569318,0.889,0.6332453825857519,0.5373134328358209,0.4664492078285182,0.4163524976437323,0.664,0.393,0.6485725774024929,0.2866666666666667,28.0,0.0287049241882701,0.5836475023562675,2
Unknown_643446,NYM,643446,2018,63,248,225,74,11,6,3,14,24,5,0,0.329,0.6716867469879518,0.5489833641404807,0.852,0.3509234828496042,0.6716417910447762,0.2325256290773532,0.1416116870876531,0.8105,0.393,0.6485725774024929,0.28,26.0,0.0231552004961561,0.8583883129123466,3
Unknown_572761,STL,572761,2018,156,676,564,145,42,0,36,102,158,6,4,0.257,0.6506024096385542,0.6451016635859521,0.897,0.6781002638522428,0.4686567164179104,0.6724137931034483,0.4641847313854854,0.6065,0.392,0.6457579412947325,0.52,33.0,0.0199699290709238,0.5358152686145146,2
Unknown_553993,CIN,553993,2018,142,606,527,149,22,2,34,64,142,9,6,0.283,0.6265060240963854,0.6506469500924217,0.892,0.6174142480211081,0.5611940298507463,0.4613233923578751,0.4655984919886899,0.6452,0.391,0.6429433051869722,0.48,27.0,0.0329389437103208,0.5344015080113103,2
Unknown_596019,CLE,596019,2018,161,757,672,187,42,2,40,70,109,8,3,0.278,0.5843373493975904,0.6487985212569318,0.877,0.6279683377308707,0.4328358208955225,0.4002795899347623,0.252827521206409,0.7477,0.389,0.6377161238439886,0.5533333333333333,25.0,0.0201257216972577,0.7471724787935907,2
Unknown_608385,CIN,608385,2018,88,334,281,84,16,0,7,49,46,2,1,0.299,0.7439759036144579,0.4750462107208873,0.836,0.3245382585751979,0.6029850746268658,0.6528424976700838,0.2379830348727615,0.7066,0.386,0.6296743063932448,0.32,25.0,0.008161951292501,0.7620169651272384,2
Unknown_592206,DET,592206,2018,157,678,620,185,46,5,23,49,151,6,3,0.298,0.5903614457831324,0.6025878003696858,0.854,0.5092348284960422,0.6776119402985076,0.3061509785647717,0.4382657869934025,0.6962,0.384,0.6244471250502612,0.4933333333333333,26.0,0.0496131668073356,0.5617342130065974,2
Unknown_571745,SEA,571745,2018,157,683,596,170,38,4,26,70,148,10,7,0.285,0.6265060240963854,0.5896487985212571,0.859,0.525065963060686,0.6029850746268658,0.4468779123951537,0.4241281809613572,0.6662,0.384,0.6244471250502612,0.4933333333333333,28.0,0.0309142857339924,0.5758718190386427,2
Unknown_429664,SEA,429664,2018,80,348,310,94,22,0,10,32,47,4,2,0.303,0.6506024096385542,0.5489833641404807,0.845,0.4195250659630607,0.5820895522388061,0.3979496738117428,0.2318567389255419,0.7615,0.381,0.6164053075995175,0.3133333333333333,36.0,0.0184170456974239,0.7681432610744581,3
Unknown_501981,ATH,501981,2018,152,658,580,143,28,1,49,59,177,12,7,0.247,0.5030120481927711,0.6987060998151573,0.877,0.7810026385224274,0.3761194029850746,0.3872320596458528,0.5473609802073516,0.6231,0.38,0.613590671491757,0.4666666666666667,31.0,0.048038863945594,0.4526390197926484,2
Unknown_458015,CIN,458015,2018,144,623,503,143,28,2,12,108,101,9,3,0.284,0.7801204819277109,0.4528650646950093,0.837,0.3324538258575198,0.5940298507462688,0.7772600186393289,0.2954759660697455,0.6501,0.38,0.613590671491757,0.4533333333333333,35.0,0.0080880606332129,0.7045240339302543,2
Unknown_444482,AZ,444482,2018,146,614,560,164,25,5,30,48,124,4,2,0.293,0.5843373493975904,0.6321626617375233,0.868,0.5646437994722955,0.5791044776119404,0.3336439888164026,0.3894910461828464,0.7134,0.38,0.613590671491757,0.4466666666666666,31.0,0.0399915176968129,0.6105089538171538,2
Unknown_467092,TB,467092,2018,110,416,382,117,22,1,15,32,80,0,2,0.306,0.6024096385542169,0.5785582255083181,0.845,0.4538258575197889,0.6537313432835822,0.3275862068965517,0.3666352497643732,0.7308,0.379,0.6107760353839968,0.3466666666666667,31.0,0.0383952679578529,0.6333647502356268,2
Unknown_609280,NYY,609280,2018,153,618,583,172,47,2,27,27,99,4,4,0.295,0.5120481927710844,0.6414048059149724,0.85,0.5725593667546174,0.5402985074626866,0.1728797763280521,0.2909990574929312,0.7896,0.378,0.6083634901487736,0.44,23.0,0.0609493566124913,0.7090009425070687,2
Unknown_656305,ATH,656305,2018,146,621,552,153,42,6,24,58,146,9,2,0.277,0.5903614457831324,0.6118299445471351,0.86,0.5778364116094987,0.6029850746268658,0.4044734389561975,0.467483506126296,0.657,0.378,0.6083634901487736,0.44,25.0,0.0387142551354734,0.5325164938737041,2
Unknown_519203,CHC,519203,2018,152,669,570,161,29,1,25,70,80,20,9,0.282,0.6536144578313253,0.5434380776340113,0.844,0.467018469656992,0.4567164179104477,0.4566635601118359,0.1953345900094251,0.7459,0.378,0.6083634901487736,0.4666666666666667,29.0,0.0121250542434139,0.8046654099905746,2
