Name,Team,batter,season,G,PA,AB,H,2B,3B,HR,BB,K,HBP,SF,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,BIP%,wOBA,wRC+,WAR,age_bat_median,K_BB_ratio,contact_rate
Unknown_553993,CIN,553993,2018,142,606,527,149,22,2,34,64,142,9,6,0.283,0.6265060240963854,0.6506469500924217,0.892,0.6174142480211081,0.5611940298507463,0.4613233923578751,0.4655984919886899,0.6452,0.391,0.6429433051869722,0.48,27.0,0.0329389437103208,0.5344015080113103
Unknown_596019,CLE,596019,2018,161,757,672,187,42,2,40,70,109,8,3,0.278,0.5843373493975904,0.6487985212569318,0.877,0.6279683377308707,0.4328358208955225,0.4002795899347623,0.25282752120640906,0.7477,0.389,0.6377161238439886,0.5533333333333333,25.0,0.02012572169725777,0.7471724787935907
Unknown_608385,CIN,608385,2018,88,334,281,84,16,0,7,49,46,2,1,0.299,0.7439759036144579,0.4750462107208873,0.836,0.3245382585751979,0.6029850746268658,0.6528424976700838,0.2379830348727615,0.7066,0.386,0.6296743063932448,0.32000000000000006,25.0,0.008161951292501001,0.7620169651272384
Unknown_592206,DET,592206,2018,157,678,620,185,46,5,23,49,151,6,3,0.298,0.5903614457831324,0.6025878003696858,0.854,0.5092348284960422,0.6776119402985076,0.3061509785647717,0.4382657869934025,0.6962,0.384,0.6244471250502612,0.49333333333333335,26.0,0.04961316680733564,0.5617342130065974
Unknown_571745,SEA,571745,2018,157,683,596,170,38,4,26,70,148,10,7,0.285,0.6265060240963854,0.5896487985212571,0.859,0.525065963060686,0.6029850746268658,0.44687791239515373,0.42412818096135724,0.6662,0.384,0.6244471250502612,0.49333333333333335,28.0,0.030914285733992457,0.5758718190386427
Unknown_429664,SEA,429664,2018,80,348,310,94,22,0,10,32,47,4,2,0.303,0.6506024096385542,0.5489833641404807,0.845,0.4195250659630607,0.5820895522388061,0.3979496738117428,0.23185673892554193,0.7615,0.381,0.6164053075995175,0.31333333333333335,36.0,0.018417045697423993,0.7681432610744581
Unknown_501981,ATH,501981,2018,152,658,580,143,28,1,49,59,177,12,7,0.247,0.5030120481927711,0.6987060998151573,0.877,0.7810026385224274,0.3761194029850746,0.3872320596458528,0.5473609802073516,0.6231,0.38,0.613590671491757,0.4666666666666667,31.0,0.04803886394559407,0.4526390197926484
Unknown_458015,CIN,458015,2018,144,623,503,143,28,2,12,108,101,9,3,0.284,0.7801204819277109,0.45286506469500937,0.837,0.3324538258575198,0.5940298507462688,0.7772600186393289,0.2954759660697455,0.6501,0.38,0.613590671491757,0.45333333333333337,35.0,0.008088060633212995,0.7045240339302543
Unknown_444482,AZ,444482,2018,146,614,560,164,25,5,30,48,124,4,2,0.293,0.5843373493975904,0.6321626617375233,0.868,0.5646437994722955,0.5791044776119404,0.3336439888164026,0.3894910461828464,0.7134,0.38,0.613590671491757,0.44666666666666666,31.0,0.03999151769681296,0.6105089538171538
Unknown_467092,TB,467092,2018,110,416,382,117,22,1,15,32,80,0,2,0.306,0.6024096385542169,0.5785582255083181,0.845,0.4538258575197889,0.6537313432835822,0.3275862068965517,0.36663524976437323,0.7308,0.379,0.6107760353839968,0.3466666666666667,31.0,0.038395267957852953,0.6333647502356268
Unknown_609280,NYY,609280,2018,153,618,583,172,47,2,27,27,99,4,4,0.295,0.5120481927710844,0.6414048059149724,0.85,0.5725593667546174,0.5402985074626866,0.17287977632805218,0.29099905749293126,0.7896,0.378,0.6083634901487736,0.44,23.0,0.06094935661249132,0.7090009425070687
Unknown_656305,ATH,656305,2018,146,621,552,153,42,6,24,58,146,9,2,0.277,0.5903614457831324,0.6118299445471351,0.86,0.5778364116094987,0.6029850746268658,0.40447343895619753,0.467483506126296,0.657,0.378,0.6083634901487736,0.44,25.0,0.03871425513547344,0.5325164938737041
Unknown_519203,CHC,519203,2018,152,669,570,161,29,1,25,70,80,20,9,0.282,0.6536144578313253,0.5434380776340113,0.844,0.46701846965699206,0.4567164179104477,0.45666356011183595,0.1953345900094251,0.7459,0.378,0.6083634901487736,0.4666666666666667,29.0,0.012125054243413922,0.8046654099905746
Unknown_571697,CIN,571697,2018,154,638,584,181,30,3,23,42,125,4,5,0.31,0.5993975903614458,0.5841035120147875,0.847,0.45118733509234826,0.6686567164179104,0.27586206896551724,0.3751178133836004,0.7273,0.378,0.6083634901487736,0.45333333333333337,28.0,0.047619206794808286,0.6248821866163996
Unknown_542583,MIL,542583,2018,154,588,513,138,25,0,37,59,149,6,10,0.269,0.5632530120481928,0.6654343807763403,0.879,0.6754617414248021,0.4955223880597015,0.43662628145386767,0.510603204524034,0.6344,0.377,0.6055488540410132,0.42666666666666664,28.0,0.03889407015673164,0.48939679547596593
Unknown_514888,HOU,514888,2018,142,623,556,174,30,2,14,57,83,6,1,0.313,0.674698795180723,0.5101663585951943,0.832,0.33773087071240104,0.6388059701492538,0.3956197576887232,0.22737983034872766,0.7608,0.377,0.6055488540410132,0.44,28.0,0.018170445639729978,0.7726201696512722
Unknown_488726,CLE,488726,2018,146,642,580,178,36,2,17,49,61,5,7,0.307,0.6144578313253012,0.5360443622920519,0.826,0.39050131926121373,0.5432835820895523,0.32479030754892824,0.13737040527803956,0.8193,0.377,0.6055488540410132,0.44666666666666666,31.0,0.014093157135201753,0.8626295947219604
Unknown_594809,WSH,594809,2018,94,370,319,96,18,1,5,38,64,11,0,0.301,0.710843373493976,0.4380776340110906,0.805,0.26649076517150394,0.6865671641791046,0.4478098788443616,0.3211592836946277,0.6892,0.377,0.6055488540410132,0.32000000000000006,30.0,0.022598606980783482,0.6788407163053722
Unknown_543305,NYY,543305,2018,140,591,489,121,19,3,27,91,112,3,6,0.247,0.6234939759036146,0.5360443622920519,0.829,0.5488126649076517,0.3880597014925373,0.6868592730661696,0.36003770028275217,0.6481,0.376,0.6027342179332529,0.42000000000000004,29.0,0.013811230285101126,0.6399622997172478
Unknown_624585,KC,624585,2018,61,257,223,59,18,0,9,28,69,4,2,0.265,0.5903614457831324,0.5397412199630316,0.82,0.5092348284960422,0.6149253731343284,0.4767008387698043,0.5461828463713478,0.607,0.376,0.6027342179332529,0.26,26.0,0.03771617077435831,0.4538171536286524
Unknown_456715,MIL,456715,2018,146,649,565,171,27,2,10,74,101,8,2,0.303,0.6987951807228917,0.4380776340110906,0.8,0.26121372031662266,0.6537313432835822,0.5004659832246039,0.2801602262016965,0.718,0.375,0.6003216726980296,0.44666666666666666,32.0,0.016412472523248796,0.7198397737983036
Unknown_592178,CHC,592178,2018,103,463,395,107,28,3,13,48,110,17,3,0.271,0.6415662650602411,0.5212569316081332,0.827,0.46437994722955145,0.6208955223880598,0.45246971109040074,0.4733741753063148,0.622,0.375,0.6003216726980296,0.36,26.0,0.034341728797871694,0.5266258246936852
Unknown_656555,PHI,656555,2018,153,660,559,137,38,0,34,87,150,9,5,0.245,0.5873493975903613,0.5951940850277266,0.849,0.6358839050131926,0.40895522388059713,0.5834109972041006,0.44910461828463716,0.6258,0.375,0.6003216726980296,0.45333333333333337,25.0,0.02337407975209619,0.5508953817153628
Unknown_408234,DET,408234,2018,38,157,134,40,11,0,3,22,27,0,1,0.299,0.7138554216867471,0.5064695009242146,0.843,0.36939313984168864,0.6507462686567164,0.6220876048462255,0.3188030160226202,0.6879,0.375,0.6003216726980296,0.21333333333333335,35.0,0.013756551400314296,0.6811969839773799
Unknown_592626,LAD,592626,2018,144,465,415,104,28,3,26,41,90,5,3,0.251,0.496987951807229,0.6395563770794825,0.844,0.6886543535620053,0.37014925373134333,0.38024231127679403,0.36946277097078234,0.7054,0.373,0.5946924004825089,0.3533333333333334,26.0,0.03245752458099142,0.6305372290292177
Unknown_453568,COL,453568,2018,160,712,641,184,31,7,29,60,135,8,2,0.287,0.5903614457831324,0.5896487985212571,0.847,0.5197889182058048,0.5671641791044777,0.3620689655172414,0.36027332704995285,0.7135,0.373,0.5946924004825089,0.4666666666666667,32.0,0.03352658343046307,0.639726672950047
Unknown_425783,TEX,425783,2018,146,665,560,148,30,1,21,92,156,10,2,0.264,0.6596385542168676,0.4805914972273569,0.81,0.42480211081794195,0.5850746268656717,0.6136999068033551,0.4663053722902922,0.6105,0.373,0.5946924004825089,0.44666666666666666,36.0,0.022826892747679156,0.5336946277097077
Unknown_614177,SD,614177,2018,86,285,261,73,9,0,16,24,80,0,0,0.28,0.5481927710843374,0.5988909426987061,0.838,0.5514511873350924,0.6298507462686568,0.36160298229263743,0.5749293119698398,0.6351,0.372,0.5922798552472859,0.26666666666666666,23.0,0.05451994379200498,0.42507068803016046
Unknown_605361,ATH,605361,2018,54,183,156,46,9,3,1,21,38,5,1,0.295,0.7078313253012049,0.43622920517560076,0.804,0.2796833773087071,0.737313432835821,0.5041938490214353,0.4029217719132894,0.6503,0.371,0.5894652191395255,0.22000000000000003,28.0,0.025012538821105962,0.5970782280867106
Unknown_596847,TB,596847,2018,61,221,190,50,14,1,10,26,55,3,2,0.263,0.5993975903614458,0.6118299445471351,0.863,0.6147757255936676,0.5402985074626866,0.5172413793103448,0.5,0.6199,0.371,0.5894652191395255,0.24000000000000002,27.0,0.030959776178633366,0.5
